AMD HD Audio DP out #2 | \\?\HDAUDIO#FUNC_01&VEN_1002&DEV_AA01&SUBSYS_00AA0100&REV_1008#5&2c9de15f&0&0001#{eb115ffc-10c8-4964-831d-6dcb02e6f23f}\e2DPOut6Wave
OnePlus Nord Buds 2 | \\?\BTHENUM#{0000110e-0000-1000-8000-00805f9b34fb}_LOCALMFG&005d#8&2c19fa78&1&08128716CBBD_C00000000#{bc03ba80-efb5-4149-9cdd-0d1074a940e1}
Generic Monitor | \\?\DISPLAY#Default_Monitor#1&8713bca&0&UID0#{10910c20-0c64-4172-9409-add3064c0cad}\color
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo00
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo01
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo02
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo03
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo04
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo05
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo06
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo07
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo08
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo09
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo0A
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo0B
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo0C
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo0D
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo0E
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo0F
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo10
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo11
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo12
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo13
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo14
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo15
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo16
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo17
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo18
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo19
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo1A
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo1B
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo1C
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo1D
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo1E
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo1F
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo20
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo21
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo22
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo23
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo24
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo25
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo26
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo27
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo28
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo29
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo2A
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo2B
NVIDIA High Definition Audio | \\?\HDAUDIO#FUNC_01&VEN_10DE&DEV_00A0&SUBSYS_103C8DD0&REV_1001#5&1b695cc4&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Topo2C
